participant,q01_formal_structure,q02_lessons_learned,q03_solution_source,q04_knowledge_base,q05_expert_finder,q06_project_knowledge,q07_hidden_knowledge_exists,q08_knowledge_utilization,q09_hidden_knowledge_value,q10_fear_of_sharing,q11_share_with_colleagues,q12_share_with_management,q13_personality_similarity,q14_extrovert_self_assessment,q15_prior_personality_test,q16_personality_test_willingness,q17_profile_use_consent,q18_ai_helpfulness,q19_ai_internal_channel_analysis,q20_ai_public_profile_analysis,q21_ai_work_content_analysis,q22_gender,q23_age_group,q24_organization_size,q25_tenure,q26_education,q27_decision_level,exploratory_hidden_knowledge_awareness_composite,exploratory_knowledge_sharing_willingness_composite,exploratory_personality_process_acceptance_composite,exploratory_ai_readiness_composite,exploratory_privacy_sensitivity_composite
1,To some level,Yes,"Official internal collaboration channels (email, slack, teams, etc.)",Yes,Periodically,No,Yes,25% to 50%,Large,Yes,Yes,Yes,It doesn't matter to me,Yes,No,Yes,Yes,Up to a certain level Yes,With certain conditions Yes,With certain conditions Yes,Yes,Female,40-50,More than 500,1-5 years,Middle,Low,0.7833333333333333,0.6666666666666666,0.8333333333333334,0.625,0.25
2,To some level,Periodically,"Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet",We don't have such a system,We don't have such a system,We don't have such a system,Yes,Completely unutilized,Large,Yes,Yes,With certain compensation Yes,It doesn't matter to me,Yes,Yes,With certain conditions Yes,No,Up to a certain level Yes,With certain conditions Yes,No,No,Male,30-40,More than 500,5-10 years,Upper,Medium,0.9166666666666666,0.5,0.3333333333333333,0.25,0.875
3,Yes,Yes,"Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources",Yes,Periodically,Yes,Yes,More than 75%,Medium,No,Yes,Yes,It doesn't matter to me,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Male,50-60,More than 500,5-10 years,High,Medium,0.5666666666666667,1.0,0.8333333333333334,0.75,0.25
4,To some level,Periodically,"Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet",No,We don't have such a system,No,Yes,25% to 50%,Large,Mostly Yes,Yes,No,Yes,Yes,Yes,Yes,With certain conditions Yes,Yes,With certain conditions Yes,No,Yes,Female,20-30,More than 500,1-5 years,High,Medium,0.7833333333333333,0.44333333333333336,0.8333333333333334,0.625,0.5
5,To some level,Periodically,"Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other",Periodically,We don't have such a system,We don't have such a system,Yes,50% to 75%,Large,Mostly No,Yes,No,It doesn't matter to me,No,No,Yes,No,Up to a certain level Yes,No,No,With certain conditions Yes,Male,20-30,100-500,5-10 years,Upper,Medium,0.7166666666666667,0.5566666666666666,0.5,0.25,0.875
6,Yes,Periodically,"Official internal collaboration channels (email, slack, teams, etc.)",Periodically,Periodically,Periodically,Yes,Less than 25%,Large,Mostly No,Yes,Yes,Yes,No,No,With certain conditions Yes,With certain conditions Yes,Yes,With certain conditions Yes,With certain conditions Yes,With certain conditions Yes,Male,30-40,100-500,5-10 years,High,Medium,0.85,0.89,0.6666666666666666,0.625,0.5
7,Yes,Periodically,"Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet",No,Periodically,We don't have such a system,Yes,25% to 50%,Large,Mostly No,Yes,No,It doesn't matter to me,No,Yes,Yes,With certain conditions Yes,Up to a certain level Yes,No,No,With certain conditions Yes,Female,30-40,More than 500,5-10 years,High,Medium,0.7833333333333333,0.5566666666666666,0.6666666666666666,0.25,0.75
8,Yes,Yes,"Official internal collaboration channels (email, slack, teams, etc.)",Yes,Yes,Yes,Yes,25% to 50%,Very large,No,Yes,Yes,It doesn't matter to me,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Male,40-50,More than 500,1-5 years,Middle,Medium,0.8666666666666667,1.0,0.8333333333333334,0.75,0.25
9,Yes,Yes,"Official internal collaboration channels (email, slack, teams, etc.)",Yes,Periodically,No,Yes,50% to 75%,Medium,Mostly No,Yes,Yes,Yes,No,Yes,Yes,Yes,Up to a certain level Yes,Yes,No,Yes,Male,30-40,100-500,1-5 years,High,Low,0.6333333333333333,0.89,1.0,0.625,0.25
10,To some level,No,"Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet",No,We don't have such a system,We don't have such a system,Yes,Less than 25%,Large,No,Yes,Yes,Yes,Yes,Yes,With certain conditions Yes,No,Up to a certain level Yes,With certain conditions Yes,No,With certain conditions Yes,Female,30-40,100-500,1-5 years,High,Low,0.85,1.0,0.5,0.375,0.75
